Year,Cynoscion guatucupa,Brachyura,Umbrina canosai,Perciformes,Pomatomus saltatrix,Cynoscion striatus,Rhodophyta,Paralichthys spp,Lutjanus purpureus,Panulirus argus,Engraulidae,Percophis brasiliensis,Acanthistius brasilianus,Arctocephalus australis,Pagrus pagrus,Total
1950,1200,1000,3000,200,900,500,1000,300,500,500,2000,1000,100,1692,300,14192
1951,600,1000,2000,200,700,500,1000,300,1000,600,2000,1000,100,3000,200,14200
1952,700,1000,2000,300,800,500,1000,400,1000,500,3000,1000,200,3000,400,15800
1953,300,1000,2000,200,700,500,1000,200,500,500,2000,1000,300,3000,500,13700
1954,800,2000,2000,300,1000,500,1000,200,1000,500,3000,200,100,4000,700,17300
1955,600,2000,1600,400,1200,900,1000,200,1500,500,4000,600,300,4000,600,19400
1956,700,3000,2000,400,2000,900,2000,400,2000,500,5000,1500,500,4000,800,25700
1957,700,4000,2000,500,2300,800,2000,500,2000,1000,6000,1500,400,4000,1000,28700
1958,1000,4000,3500,400,2100,300,2000,500,2000,1000,5000,300,200,4000,1600,27900
1959,1000,4100,1900,500,2900,500,3000,400,2100,1000,6700,600,200,8109,1700,34709
1960,1000,2800,1800,600,2900,1000,4000,600,1900,2900,5100,500,100,4562,1500,31262
1961,1000,6000,1100,600,4700,1300,8100,700,1400,3000,6900,500,100,5003,1300,41703
1962,1000,5400,2200,300,8000,700,7200,800,1600,4300,3600,3000,200,5113,1400,44813
1963,1000,6000,2800,500,9600,700,6600,800,2000,3000,4000,4000,100,7000,1700,49800
1964,2400,7200,3800,1200,10700,1400,8600,1000,2700,3300,4300,2300,900,7975,2200,59975
1965,2300,7800,4100,1700,8700,1700,14800,1400,4300,3400,4900,2100,300,7125,2100,66725
1966,2900,14700,7500,16700,7000,1800,27900,1300,5500,2800,2400,2700,1100,9500,3100,106900
1967,7000,11900,9500,125600,8600,2100,29600,1500,7400,2500,2700,3700,1900,9853,2500,226353
1968,5100,14800,6000,75900,14100,2000,22800,2200,7300,3200,3100,3700,1900,11131,2700,175931
1969,5400,15000,3500,2100,15100,2700,19300,4400,4600,6300,3100,2400,2600,12350,1800,100650
1970,4300,13900,3200,4700,17000,2500,20400,5000,4600,6800,2800,2600,2500,11876,2100,104276
1971,2400,18100,3000,9200,30400,3100,21000,7000,5400,5800,5500,2900,5500,12899,1900,134099
1972,4600,16000,2500,2500,14600,4500,19200,2300,8500,6900,6100,3200,1800,10409,1600,104709
1973,5700,17400,6500,2900,12400,6100,21400,1400,15000,6400,1300,4000,3600,10297,3600,117997
1974,3900,5321,7500,4115,17581,4400,17500,3172,14112,7859,5115,3900,1700,11591,1600,109366
1975,1974,6337,9778,10371,9768,3394,16813,3613,14118,5606,8235,1842,1415,12607,2109,107980
1976,4034,6146,3799,4950,9966,3891,15146,2451,12715,3583,10476,2670,1700,14045,3005,98577
1977,2064,6642,2396,8020,12516,5077,20843,3606,11205,5268,14072,4709,3970,10933,8293,119614
1978,3601,6585,2059,14079,10999,6488,21606,4010,13530,6268,17171,4078,4977,10524,13415,139390
1979,5897,7659,1366,10371,11108,11418,15009,4736,8069,7826,14706,2897,5090,10496,10300,126948
1980,9010,11098,1984,5814,4614,15874,14284,3413,5490,6218,17081,2686,12690,8897,9595,128748
1981,8272,13016,1780,6943,7546,15158,12891,5522,8937,7331,20552,2731,16223,6651,16220,149773
1982,15025,13337,1170,4529,8008,12613,12276,4199,9415,7426,6111,3494,24351,1375,9147,132476
1983,7132,13755,308,6850,7376,9126,10740,4450,9458,4057,2018,2084,10891,800,7495,96540
1984,3463,13870,278,6616,5681,10938,7001,4619,10721,8189,3343,2116,8682,7070,6684,99271
1985,8132,19920,19273,7352,7924,7322,12584,9187,9872,6929,5903,1640,15938,6946,6376,145298
1986,12513,14677,17726,10842,4993,12894,5,12087,9649,6176,4887,2323,12018,6186,2870,129846
1987,10347,15222,20868,10052,6791,10703,1,10891,4026,6930,3890,2255,11637,6985,4106,124704
1988,17684,13348,18243,10106,5874,6848,5,10296,3518,7087,3400,3255,10572,6215,5860,122311
1989,10082,14407,19611,10425,5922,10962,4,12061,3607,7090,3485,4242,14217,6709,5807,128631
1990,9488,13670,19644,10466,5749,5665,1,11570,3600,9223,3400,3832,7556,5439,2928,112231
1991,5319,14005,17484,9812,6146,7575,3,12496,3680,11059,3476,4636,6977,5375,3122,111165
1992,10173,13580,15609,7854,6634,8786,4,11148,3620,9127,3420,3838,6784,102,3131,103810
1993,6407,13569,11993,7851,6856,6962,3,12338,3610,9100,3400,5706,9764,112,1694,99365
1994,15712,13593,11497,7848,5785,10323,3,10289,3620,9120,3410,6213,7940,0,1633,106986
1995,19218,12262,14537,5301,8209,13417,3,11834,5816,10817,3806,9320,10987,0,1298,126825
1996,18971,9949,12963,5725,6219,12654,5,10327,5104,8026,7672,9231,10827,0,2475,120148
1997,24132,10267,6658,9844,3043,15186,2,11995,6085,7502,7102,11887,9168,1,2743,125615
1998,17093,9207,5284,9917,2603,15286,2,10897,5937,6002,2654,10184,5258,0,2026,102350
1999,11583,10946,7683,12056,2368,8481,2,9157,9790,6334,2682,8607,6379,12,3747,99827
2000,9433,11149,9221,7648,3778,13440,0,8598,6580,6469,4039,7862,4222,0,2825,95264
2001,11844,12775,17066,38,3709,10890,0,8568,6209,7139,4197,8957,4890,7,2385,98674
2002,17249,10937,17681,5,4681,8958,0,7997,6923,6807,3766,6180,3624,16,2647,97471
2003,15663,10554,15166,1417,4713,7122,0,8881,5912,6320,4398,6982,4032,37,3700,94897
2004,21859,9328,17324,341,3952,10980,0,8710,5994,8689,4676,6797,5111,30,4442,108233
2005,19386,10172,9313,0,2856,8559,0,9857,7793,6927,3353,8479,5983,36,5287,98001
2006,20447,8041,19666,0,5008,9954,0,10492,6587,6724,5181,9139,4469,24,7101,112833
2007,18720,6881,17458,0,4003,8909,0,10330,3694,6479,4374,8577,4472,66,6559,100522
2008,20905,8265,15639,0,3784,11033,0,10840,5943,6589,4445,8817,4570,61,9336,110227
2009,19594,9084,17885,0,4128,6354,0,10148,6555,7268,4902,8886,4679,82,9967,109532
2010,18774,8683,17230,0,4429,5480,0,10153,6199,6866,4627,8556,4198,80,8339,103614
2011,19296,8894,15925,0,3671,7096,0,10183,5769,6776,4306,8680,3767,53,6058,100474
2012,21292,9652,17878,0,4064,6613,0,9545,6277,7451,4686,8967,2126,55,5311,103917
2013,21634,8706,14025,0,4034,3921,0,7556,5418,6726,4044,6951,2479,55,6375,91924
2014,20731,8796,15214,0,4607,4353,0,8701,6540,6787,4882,8697,1851,106,5419,96684
2015,22598,7911,14205,0,4840,3551,0,7777,5900,6900,4400,9624,1895,183,5584,95368
2016,15687,7922,12706,0,3929,4045,0,7241,6100,7000,4400,7923,1151,138,5053,83295
2017,17798,8022,11946,0,4285,4385,0,6280,6000,7300,4400,7277,1119,166,5772,84750
2018,15138,8026,11871,0,4675,5498,0,6273,6000,7300,4400,8312,748,168,6502,84911
2019,15669,8033,11566,0,4452,6139,0,7028,6000,7300,4400,8678,1009,0,7381,87655
